time,open,high,close,low,Volume
4/29/2009,2.75,2.9,2.8,2.8,1920000
4/30/2009,2.8,2.9,2.85,2.75,3180000
05/04/2009,2.85,2.85,2.8,2.7,4920000
05/05/2009,2.8,2.9,2.8,2.75,15830000
05/06/2009,2.8,2.85,2.8,2.8,4790000
05/07/2009,2.8,2.85,2.8,2.75,13490000
05/08/2009,2.8,2.85,2.8,2.8,3010000
05/11/2009,2.8,2.9,2.8,2.8,8710000
05/12/2009,2.8,2.85,2.8,2.8,5860000
5/13/2009,2.8,2.9,2.75,2.7,3810000
5/14/2009,2.75,2.95,2.85,2.8,1540000
5/15/2009,2.85,3,2.95,2.9,1440000
5/18/2009,2.95,3.05,2.95,2.9,3230000
5/19/2009,2.95,3,2.95,2.9,5700000
5/20/2009,2.95,3.05,2.95,2.95,23720000
5/21/2009,2.95,2.95,2.85,2.75,20090000
5/22/2009,2.85,2.9,2.85,2.8,8190000
5/25/2009,2.85,2.9,2.8,2.8,10070000
5/26/2009,2.8,2.9,2.8,2.75,22990000
5/27/2009,2.8,2.9,2.8,2.75,10890000
5/28/2009,2.8,2.85,2.75,2.75,13840000
5/29/2009,2.75,2.85,2.75,2.7,17270000
06/02/2009,2.75,2.85,2.75,2.75,18620000
06/03/2009,2.75,2.85,2.8,2.8,11140000
06/04/2009,2.8,2.85,2.8,2.8,6760000
06/05/2009,2.8,2.9,2.8,2.8,17610000
06/08/2009,2.8,2.9,2.8,2.8,6180000
06/09/2009,2.8,2.9,2.8,2.8,6090000
06/10/2009,2.8,2.95,2.85,2.8,2850000
06/11/2009,2.85,3.05,2.95,2.85,13300000
06/12/2009,2.95,3.1,3,2.95,14360000
6/15/2009,3,3.15,3.05,3,12260000
6/16/2009,3.05,3.25,3.15,3,10670000
6/17/2009,3.15,3.4,3.3,3.1,8860000
6/18/2009,3.3,3.6,3.5,3.3,21590000
6/19/2009,3.5,3.6,3.45,3.4,20680000
6/22/2009,3.45,3.5,3.4,3.35,8170000
6/23/2009,3.4,3.5,3.3,3.2,5240000
6/24/2009,3.3,3.3,3.2,3.15,5620000
6/25/2009,3.2,3.3,3.2,3.05,5480000
6/26/2009,3.2,3.25,3.15,3.15,2490000
6/29/2009,3.15,3.25,3.1,3.05,12990000
6/30/2009,3.1,3.4,3.2,3.05,8700000
07/01/2009,3.2,3.4,3.3,3.2,12640000
07/02/2009,3.3,3.55,3.4,3.25,6770000
07/03/2009,3.4,3.7,3.55,3.35,10410000
07/06/2009,3.55,3.8,3.7,3.5,13290000
07/07/2009,3.7,3.8,3.75,3.6,8800000
07/08/2009,3.75,3.75,3.65,3.55,12160000
07/09/2009,3.65,3.7,3.6,3.55,4320000
07/10/2009,3.6,3.75,3.65,3.6,8030000
7/13/2009,3.65,3.7,3.6,3.6,5440000
7/14/2009,3.6,3.65,3.6,3.5,7340000
7/15/2009,3.6,3.8,3.65,3.25,8540000
7/16/2009,3.65,3.8,3.75,3.3,5740000
7/17/2009,3.75,3.8,3.65,3.5,5920000
7/20/2009,3.65,3.75,3.7,3.6,4600000
7/21/2009,3.7,3.8,3.75,3.7,4120000
7/22/2009,3.75,3.8,3.75,3.7,5360000
7/23/2009,3.75,3.8,3.7,3.65,9530000
7/24/2009,3.7,3.8,3.75,3.7,3550000
7/27/2009,3.75,3.8,3.7,3.7,7220000
7/28/2009,3.7,3.75,3.7,3.7,4490000
7/29/2009,3.7,3.75,3.65,3.6,2990000
7/30/2009,3.65,3.8,3.7,3.6,7750000
7/31/2009,3.7,3.8,3.75,3.6,10150000
08/03/2009,3.75,3.8,3.7,3.7,4730000
08/04/2009,3.7,3.9,3.75,3.7,8730000
08/05/2009,3.75,3.9,3.75,3.75,8540000
08/06/2009,3.75,4,3.9,3.8,8680000
08/07/2009,3.9,4,3.9,3.9,4280000
10/08/2009,3.9,4,3.9,3.6,10610000
08/11/2009,3.9,3.95,3.9,3.7,4620000
08/12/2009,3.9,3.95,3.9,3.8,5030000
8/13/2009,3.9,3.95,3.8,3.6,11820000
8/14/2009,3.8,3.9,3.8,3.75,9390000
8/17/2009,3.8,3.85,3.75,3.7,6580000
8/18/2009,3.75,3.85,3.7,3.65,4760000
8/19/2009,3.7,3.85,3.6,3.6,13700000
8/20/2009,3.6,3.85,3.55,3.5,13670000
8/21/2009,3.55,3.65,3.6,3.55,8360000
8/24/2009,3.6,3.6,3.5,3.5,7630000
8/26/2009,3.5,3.65,3.5,3.5,9780000
8/27/2009,3.5,3.65,3.55,3.5,9480000
8/28/2009,3.55,3.7,3.6,3.55,3510000
8/31/2009,3.6,3.8,3.6,3.55,6040000
09/01/2009,3.6,3.75,3.6,3.6,2910000
09/02/2009,3.6,3.75,3.65,3.65,2110000
09/03/2009,3.65,3.75,3.65,3.6,5160000
09/04/2009,3.65,3.8,3.65,3.6,2890000
09/07/2009,3.65,3.8,3.65,3.65,2130000
09/08/2009,3.65,3.7,3.65,3.65,2340000
09/09/2009,3.65,3.7,3.6,3.6,4550000
09/10/2009,3.6,3.75,3.65,3.5,2920000
09/11/2009,3.65,3.8,3.7,3.65,2450000
9/14/2009,3.7,3.9,3.8,3.6,5340000
9/15/2009,3.8,3.9,3.85,3.75,5580000
9/16/2009,3.85,3.95,3.85,3.85,11610000
9/17/2009,3.85,3.95,3.9,3.85,12980000
9/18/2009,3.9,3.95,3.85,3.7,6150000
9/22/2009,3.85,3.85,3.75,3.65,4040000
9/23/2009,3.75,3.9,3.8,3.55,9360000
9/24/2009,3.8,3.9,3.85,3.75,2490000
9/25/2009,3.85,3.9,3.75,3.65,5660000
9/28/2009,3.75,3.85,3.75,3.55,4350000
9/29/2009,3.75,3.8,3.7,3.65,9960000
9/30/2009,3.7,3.8,3.7,3.7,10490000
10/01/2009,3.7,3.8,3.7,3.7,2630000
10/02/2009,3.7,3.8,3.75,3.7,5260000
10/05/2009,3.75,3.8,3.7,3.65,3540000
10/06/2009,3.7,3.75,3.7,3.7,3530000
10/07/2009,3.7,3.85,3.65,3.5,12410000
10/08/2009,3.65,3.8,3.7,3.65,6560000
10/09/2009,3.7,3.85,3.7,3.7,6670000
10/12/2009,3.7,3.75,3.7,3.65,6170000
10/13/2009,3.7,3.8,3.7,3.7,8780000
10/14/2009,3.7,3.85,3.75,3.7,13240000
10/15/2009,3.75,3.85,3.75,3.7,5440000
10/16/2009,3.75,3.9,3.8,3.75,1790000
10/19/2009,3.8,3.85,3.8,3.7,4430000
10/21/2009,3.8,3.9,3.75,3.75,9550000
10/22/2009,3.75,3.9,3.8,3.6,10720000
10/26/2009,3.8,3.95,3.85,3.8,7550000
10/27/2009,3.85,4,3.9,3.8,27260000
10/28/2009,3.9,4,3.9,3.9,6560000
10/29/2009,3.9,4.05,3.95,3.8,10120000
11/02/2009,3.95,4.05,4,3.9,8180000
11/03/2009,4,4.05,3.95,3.95,10710000
11/04/2009,3.95,4,3.95,3.65,7190000
