,time,open,high,close,low,Volume,log returns,simple returns,absolute log return,30 moving average,21-day rolling volatility
126,2008-12-08,3.3,3.4,3.2,3.15,3540000,-0.030771658666753545,-0.030303030303030165,0.030771658666753545,0.032560107471562155,0.033476326301691436
127,2008-12-09,3.2,3.3,3.25,3.2,3490000,0.015504186535965254,0.015625,0.015504186535965254,0.0325902870420559,0.031235430584001994
128,2008-12-10,3.25,3.4,3.3,3.2,4170000,0.01526747213078838,0.01538461538461533,0.01526747213078838,0.031595188270399865,0.03137623557175505
129,2008-12-11,3.3,3.4,3.35,3.25,2680000,0.015037877364540502,0.015151515151515138,0.015037877364540502,0.030521354687533035,0.024770369419723756
130,2008-12-15,3.35,3.5,3.4,3.3,2980000,0.014815085785140682,0.014925373134328401,0.014815085785140682,0.03101519088037106,0.025152008859449786
131,2008-12-16,3.4,3.5,3.35,3.3,6430000,-0.014815085785140587,-0.014705882352941124,0.014815085785140587,0.028923752595013265,0.025203740819509553
132,2008-12-17,3.35,3.5,3.35,3.3,3170000,0.0,0.0,0.0,0.026990844006668284,0.024868291984399347
133,2008-12-18,3.35,3.6,3.45,3.35,5330000,0.029413885206293407,0.029850746268656803,0.029413885206293407,0.025267122019799117,0.026019099564488727
134,2008-12-19,3.45,3.6,3.45,3.4,12450000,0.0,0.0,0.0,0.02276594915503531,0.0247095823725939
135,2008-12-22,3.45,3.6,3.5,3.4,2940000,0.014388737452099452,0.014492753623188248,0.014388737452099452,0.02201844129934808,0.02484097466701341
136,2008-12-23,3.5,3.6,3.5,3.45,2270000,0.0,0.0,0.0,0.020392102493700343,0.024601990011925978
137,2008-12-24,3.5,3.7,3.55,3.5,4530000,0.014184634991956381,0.014285714285714235,0.014184634991956381,0.02047044173853213,0.02468871021789443
138,2008-12-29,3.55,3.75,3.55,3.45,13730000,0.0,0.0,0.0,0.017175580583977713,0.02384082695032673
139,2008-12-30,3.55,3.7,3.6,3.5,9340000,0.01398624197473987,0.014084507042253502,0.01398624197473987,0.017206052597557274,0.0238593198635964
140,2008-12-31,3.6,3.7,3.6,3.55,1040000,0.0,0.0,0.0,0.017206052597557274,0.0238593198635964
141,2009-01-02,3.6,3.75,3.6,3.6,1220000,0.0,0.0,0.0,0.01677031654531218,0.023157167376403026
142,2009-01-05,3.6,3.75,3.6,3.6,1560000,0.0,0.0,0.0,0.016334580493067085,0.022308214445141774
143,2009-01-06,3.6,3.75,3.6,3.6,3840000,0.0,0.0,0.0,0.014992117188469083,0.017823083520636603
144,2009-01-07,3.6,3.75,3.6,3.6,4520000,0.0,0.0,0.0,0.014532339784057892,0.017823083520636603
145,2009-01-08,3.6,3.7,3.55,3.5,3140000,-0.013986241974739952,-0.01388888888888895,0.013986241974739952,0.014538770445471366,0.01446372372716721
146,2009-01-09,3.55,3.65,3.55,3.5,3010000,0.0,0.0,0.0,0.014078993041060174,0.01322155682236257
147,2009-01-12,3.55,3.6,3.55,3.5,2430000,0.0,0.0,0.0,0.013165693901456355,0.01070092549013874
148,2009-01-13,3.55,3.6,3.5,3.5,1680000,-0.014184634991956413,-0.014084507042253502,0.014184634991956413,0.013191081056783549,0.011186003900595395
149,2009-01-14,3.5,3.6,3.5,3.5,2660000,0.0,0.0,0.0,0.013191081056783549,0.010876797525682654
150,2009-01-15,3.5,3.6,3.5,3.45,4120000,0.0,0.0,0.0,0.012290125310519569,0.01052011973464334
151,2009-01-16,3.5,3.5,3.4,3.3,7690000,-0.028987536873252298,-0.02857142857142858,0.028987536873252298,0.012330391069392124,0.012094656129993334
152,2009-01-19,3.4,3.4,3.35,3.3,2770000,-0.014815085785140587,-0.014705882352941124,0.014815085785140587,0.010891318673885169,0.012094656129993334
153,2009-01-20,3.35,3.35,3.25,3.2,5280000,-0.030305349495328922,-0.02985074626865669,0.030305349495328922,0.011901496990396132,0.01378458257652976
154,2009-01-22,3.1,3.15,3.05,3.0,4380000,-0.06351340572232586,-0.06153846153846154,0.06351340572232586,0.012491625980097185,0.01773365168904679
155,2009-01-23,3.05,3.25,3.1,3.1,7060000,0.016260520871780326,0.016393442622950838,0.016260520871780326,0.012007921386931414,0.018347074086165944
156,2009-01-26,3.1,3.25,3.1,3.1,5610000,0.0,0.0,0.0,0.010982199431372961,0.01784491252254564
157,2009-01-27,3.1,3.25,3.2,3.15,14120000,0.03174869831458027,0.032258064516129004,0.03174869831458027,0.011523683157326796,0.01961600868335715
158,2009-01-28,3.2,3.3,3.2,3.15,3290000,0.0,0.0,0.0,0.011014767419633848,0.019188423961870763
159,2009-01-29,3.2,3.25,3.2,3.15,3850000,0.0,0.0,0.0,0.010513504840815834,0.019188423961870763
160,2009-01-29,3.25,3.25,3.1,3.0,4790000,-0.0317486983145803,-0.03125,0.0317486983145803,0.011077958591797155,0.019525066632116922
161,2009-01-30,3.2,3.25,3.15,3.15,1340000,0.01600034134644112,0.016129032258064502,0.01600034134644112,0.011117467110507174,0.020119949314204615
162,2009-02-02,3.15,3.2,3.1,3.1,4010000,-0.016000341346441075,-0.015873015873015817,0.016000341346441075,0.011650811822055209,0.020170010394366906
163,2009-02-03,3.1,3.2,3.1,3.0,4230000,0.0,0.0,0.0,0.010670348981845428,0.020170010394366906
164,2009-02-05,3.1,3.2,3.1,3.1,9510000,0.0,0.0,0.0,0.010670348981845428,0.020170010394366906
165,2009-02-06,3.1,3.25,3.1,3.1,1970000,0.0,0.0,0.0,0.010190724400108781,0.020170010394366906
